category,itemID,SIDO,SI
관광,대구 이월드,대구광역시,대구광역시
관광,비발디파크 루지 월드,강원특별자치도,홍천군
관광,문경새재 오픈세트장,경북,문경시
휴식,송도 해상 케이블카 송도 베이 스테이션,부산광역시,부산광역시
휴식,상족암 군립 공원,경남,고성군
휴식,달성 공원,대구광역시,대구광역시
휴식,선암호수 공원,울산광역시,울산광역시
휴식,하늘 목장,강원특별자치도,평창군
사진O,오륙도 스카이워크,부산광역시,부산광역시
사진O,강문해변,강원특별자치도,강릉시
사진O,카페 감자밭 본점,강원특별자치도,춘천시
사진O,동궁과 월지 연꽃 단지,경북,경주시
사진O,강릉 카페 거리,강원도,강릉시
사진X,토성농협 하나로마트 본점,강원,고성군
사진X,신창 간이해수욕장,경북,포항시
사진X,문경오미자 테마공원,경북,문경시
사진X,화왕산,경남,창녕군
사진X,장사 상륙작전 전승기념관,경상북도,영덕군
럭셔리숙박,파라다이스 시티,인천,중구
럭셔리숙박,서울 신라호텔,서울,중구
럭셔리숙박,호텔 나루 서울 엠 갤러리,서울,마포구
럭셔리숙박,소피텔앰배서더,서울,송파구
럭셔리숙박,더블트리 바이 힐튼 서울 판교,경기,성남시
가성비숙박,나인 트리 프리미어 호텔 명동,수도권,서울시
가성비숙박,브라운 도트 용인점,경기,용인시
가성비숙박,드림 게스트하우스,서울,중구
가성비숙박,준 게스트하우스,서울,마포구
가성비숙박,라마다 인천 호텔,인천,남동구
럭셔리숙박,그랜드 엘시티 레지던스,부산광역시,부산광역시
럭셔리숙박,파라다이스 호텔,부산광역시,해운대구
럭셔리숙박,알펜시아리조트,강원특별자치도,평창군
럭셔리숙박,힐튼 경주,경상북도,경주시
럭셔리숙박,힐튼호텔,경북,경주시
가성비숙박,엠앤 러키 호텔,서울,종로구
가성비숙박,굿모닝 호텔,강원,속초시
가성비숙박,다락방 게스트하우스,전남,구례군
가성비숙박,경주 게스트하우스,경상북도,경주시
가성비숙박,프렌드우정 모텔,경상북도,문경시
자연,국립세종수목원,세종특별시,세종특별시
자연,한밭수목원,대전광역시,대전광역시
자연,순천만 국가정원,전남,순천시
자연,신두리 해안사구,충남,태안군
자연,지산유원지,광주광역시,광주광역시
도시,국립 중앙과학관,대전광역시,대전광역시
도시,여수 낭만포차 거리,전남,여수시
도시,이순신광장,전남,여수시
도시,전주한옥마을,전북,전주시
도시,광주예술의 거리,광주광역시,광주광역시
관광,테미오래,충청북도,충주
관광,충주 라바 랜드,충북,충주시
관광,메타 프로방스,전남,담양군
관광,테디베어뮤지엄 군산점,전북,군산시
관광,아쿠아플라넷 여수,전남,여수시
휴식,현충사,충남,아산시
휴식,담양온천,전남,담양군
휴식,한옥마을 도서관,전북,전주시
휴식,아가페 정원,전북,익산시
휴식,박달재 자연휴양림,충북,제천시
사진O,지중해마을,충남,아산시
사진O,녹테마레,전남,여수시
사진O,아미 미술관,충남,당진시
사진O,한옥네컷,전북,전주시
사진O,장미 갤러리,전북,군산시
사진X,전주한옥 레일바이크,전북,전주시
사진X,단양 청춘 패러,충북,단양군
사진X,여수 해상 케이블카,전남,여수시
사진X,땅끝 모노레일,전남,해남군
사진X,디오션리조트 워터파크,전남,여수시
럭셔리숙박,여수 비치리조트,전남,여수시
럭셔리숙박,코트야드 바이 메리어트 세종,세종특별시,세종특별시
럭셔리숙박,소노벨,제주특별자치도,제주시
럭셔리숙박,쏠비치,전남,진도군
럭셔리숙박,라마다플라자 광주 호텔,광주광역시,광주광역시
가성비숙박,호텔써밋,광주광역시,광주광역시
가성비숙박,호텔 아이콘,전북,군산시
가성비숙박,종달새 노래할 때,전남,신안군
가성비숙박,제이브라운 호텔,전북,전주시
가성비숙박,라움 스테이,충남,서천군
자연,백록담,제주특별자치도,서귀포시
자연,섭지코지,제주특별자치도,서귀포시
자연,사계해변,제주특별자치도,서귀포시
자연,성산일출봉,제주특별자치도,서귀포시
자연,새별 오름,제주특별자치도,제주시
도시,이중섭거리,제주특별자치도,서귀포시
도시,오설록 티 뮤지엄,제주특별자치도,서귀포시
도시,제주민속촌,제주특별자치도,서귀포시
도시,애월 카페거리,제주특별자치도,제주시
도시,우무,제주특별자치도,제주시
관광,박물관은 살아있다 제주 중문점,제주특별자치도,서귀포시
관광,스누피가든,제주특별자치도,제주시
관광,해녀박물관,제주특별자치도,제주시
관광,아쿠아 플라넷 제주,제주특별자치도,서귀포시
관광,신화 테마파크,제주특별자치도,서귀포시
휴식,서귀포 치유의 숲,제주특별자치도,서귀포시
휴식,비밀의 숲,제주특별자치도,제주시
휴식,레몬 뮤지엄,제주특별자치도,서귀포시
휴식,노바운더리 제주,제주특별자치도,서귀포시
휴식,휴애리 자연생활공원,제주특별자치도,서귀포시
사진O,에코랜드 테마파크,제주특별자치도,제주시
사진O,카멜리아힐,제주특별자치도,서귀포시
사진O,아르떼 뮤지엄 제주,제주특별자치도,제주시
사진O,빛의 벙커,제주특별자치도,서귀포시
사진O,애월 카페거리,제주특별자치도,제주시
사진X,제주 스카이랩 패러글라이딩 체험비행장소,제주특별자치도,제주시
사진X,9.81파크,제주특별자치도,제주시
사진X,퐁당 제주,제주특별자치도,제주시
사진X,액티브 파크,제주특별자치도,제주시
사진X,제주 웨이브 서핑,제주특별자치도,제주시
럭셔리숙박,훈데르트 힐즈,제주특별자치도,제주시
럭셔리숙박,제이투 호스텔,제주특별자치도,제주시
럭셔리숙박,캠퍼트리 호텔 앤리조트,제주특별자치도,제주시
럭셔리숙박,썬앤문리조트,제주특별자치도,서귀포시
럭셔리숙박,썬앤문리조트,제주특별자치도,서귀포시
럭셔리숙박,WE 호텔,제주특별자치도,서귀포시
럭셔리숙박,라마다플라자 제주호텔,제주특별자치도,제주시
가성비숙박,제이투 호스텔,제주특별자치도,제주시
가성비숙박,히든 스테이,제주특별자치도,서귀포시
가성비숙박,블루마운틴 호텔,제주특별자치도,서귀포시
가성비숙박,신신호텔 제주 오션,제주특별자치도,서귀포시
가성비숙박,아루미 호텔 중문,제주특별자치도,서귀포시
